['2016010514', 'METAR', 'SBGL', '051400Z', '36008KT', '9999', 'X', 'FEW020', 'X', 'X', 'X', '28', '17', 'Q1017=']
['2016010515', 'METAR', 'SBGL', '051500Z', '14006KT', '9999', 'X', 'FEW020', 'X', 'X', 'X', '30', '18', 'Q1017=']
['2016010516', 'METAR', 'SBGL', '051600Z', '14015KT', '9999', 'X', 'FEW020', 'X', 'X', 'X', '28', '19', 'Q1016=']
['2016010517', 'METAR', 'SBGL', '051700Z', '14015KT', '9999', 'X', 'FEW020', 'X', 'X', 'X', '29', '19', 'Q1015=']
['2016010518', 'METAR', 'SBGL', '051800Z', '15013KT', '9999', 'X', 'FEW020', 'X', 'X', 'X', '29', '19', 'Q1015=']
['2016010519', 'METAR', 'SBGL', '051900Z', '16013KT', '9999', 'X', 'FEW020', 'X', 'X', 'X', '27', '20', 'Q1015=']
['2016010520', 'METAR', 'SBGL', '052000Z', '16015KT', '9999', 'X', 'FEW020', 'BKN070', 'X', 'X', '26', '19', 'Q1014=']
['2016010521', 'METAR', 'SBGL', '052100Z', '16012KT', '9999', 'X', 'FEW020', 'X', 'X', 'X', '26', '20', 'Q1014=']
['2016010522', 'METAR', 'SBGL', '052200Z', '12009KT', '9999', 'X', 'FEW020', 'SCT050', 'X', 'X', '25', '20', 'Q1015=']
['2016010523', 'METAR', 'SBGL', '052300Z', '10016KT', '9999', 'X', 'FEW020', 'SCT050', 'X', 'X', '25', '19', 'Q1016=']
['2016010600', 'METAR', 'SBGL', '060000Z', '10014KT', '9999', 'X', 'FEW020', 'BKN050', 'X', 'X', '24', '19', 'Q1016=']
['2016010601', 'METAR', 'SBGL', '060100Z', '10008KT', '9999', 'X', 'FEW020', 'X', 'X', 'X', '24', '19', 'Q1017=']
['2016010602', 'METAR', 'SBGL', '060200Z', '13004KT', '9999', 'X', 'FEW020', 'X', 'X', 'X', '24', '18', 'Q1017=']
['2016010603', 'METAR', 'SBGL', '060300Z', '13005KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '24', '18', 'Q1016=']
['2016010604', 'METAR', 'SBGL', '060400Z', '12002KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '23', '18', 'Q1015=']
['2016010605', 'METAR', 'SBGL', '060500Z', '14003KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '23', '18', 'Q1015=']
['2016010606', 'METAR', 'SBGL', '060600Z', '12003KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '23', '18', 'Q1015=']
['2016010607', 'METAR', 'SBGL', '060700Z', '11002KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '22', '18', 'Q1014=']
['2016010608', 'METAR', 'SBGL', '060800Z', '11002KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '22', '18', 'Q1014=']
['2016010609', 'METAR', 'SBGL', '060900Z', '12002KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '23', '19', 'Q1015=']
['2016010610', 'METAR', 'SBGL', '061000Z', '10002KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '26', '18', 'Q1015=']
['2016010611', 'METAR', 'SBGL', '061100Z', '08004KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '26', '18', 'Q1016=']
['2016010612', 'METAR', 'SBGL', '061200Z', '03006KT', '9999', 'X', 'FEW020', 'X', 'X', 'X', '27', '18', 'Q1016=']
['2016010613', 'METAR', 'SBGL', '061300Z', '03007KT', '9999', 'X', 'FEW020', 'X', 'X', 'X', '28', '17', 'Q1015=']
['2016010614', 'METAR', 'SBGL', '061400Z', '04008KT', '9999', 'X', 'FEW025', 'X', 'X', 'X', '30', '17', 'Q1014=']
['2016010615', 'METAR', 'SBGL', '061500Z', '35007KT', '9999', 'X', 'FEW025', 'X', 'X', 'X', '30', '18', 'Q1013=']
['2016010616', 'METAR', 'SBGL', '061600Z', '14009KT', '9999', 'X', 'FEW025', 'X', 'X', 'X', '31', '18', 'Q1012=']
['2016010617', 'METAR', 'SBGL', '061700Z', '14013KT', '9999', 'X', 'FEW025', 'X', 'X', 'X', '31', '17', 'Q1012=']
['2016010618', 'METAR', 'SBGL', '061800Z', '12013KT', '9999', 'X', 'FEW025', 'X', 'X', 'X', '30', '18', 'Q1011=']
['2016010619', 'METAR', 'SBGL', '061900Z', '14013KT', '9999', 'X', 'FEW025', 'X', 'X', 'X', '29', '18', 'Q1011=']
['2016010620', 'METAR', 'SBGL', '062000Z', '13018KT', '9999', 'X', 'FEW025', 'X', 'X', 'X', '28', '19', 'Q1011=']
['2016010621', 'METAR', 'SBGL', '062100Z', '14015KT', '9999', 'X', 'FEW025', 'X', 'X', 'X', '27', '19', 'Q1011=']
['2016010622', 'METAR', 'SBGL', '062200Z', '14010KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '26', '20', 'Q1012=']
['2016010623', 'METAR', 'SBGL', '062300Z', '09010KT', 'CAVOK', 'X', 'X', 'X', 'X', 'X', '26', '19', 'Q1013=']
